    时间	    开度值	      蜗壳压力	      尾水管压力	    流量	      转速	      出力	  单位转速	  单位流量	  单位力矩	球阀前压力	球阀后压力	蜗壳进口压力	尾水管出口压力
  28.600	   0.015	       590.250	        58.384	    -2.965	   415.809	   -67.221	    75.728	    -0.007	    -3.994	521.878419	521.878419	591.399249	2312.597887
  28.800	   0.010	       579.177	        55.241	    -2.052	   414.020	   -58.690	    75.969	    -0.005	    -3.555	511.616472	511.616472	580.863349	2309.629509
  29.000	   0.005	       574.329	        60.756	    -1.064	   412.482	   -49.022	    76.446	    -0.003	    -3.040	506.799414	506.799414	576.094012	2314.998354
  29.200	   0.000	       567.146	        69.439	     0.000	   411.235	   -37.258	    77.427	    -0.000	    -2.483	498.924040	498.924040	568.192389	2323.914587
  29.400	   0.000	       573.884	        71.439	     0.000	   410.171	   -36.969	    76.840	     0.000	    -2.356	503.425391	503.425391	573.401675	2327.984858
  29.600	   0.000	       568.171	        73.439	     0.000	   409.113	   -36.684	    77.291	     0.000	    -2.384	498.214060	498.214060	568.305547	2328.089831
  29.800	   0.000	       575.585	        71.641	     0.000	   408.060	   -36.401	    76.399	     0.000	    -2.329	506.262468	506.262468	576.149098	2321.330699
  30.000	   0.000	       583.215	        69.641	     0.000	   407.012	   -36.122	    75.455	     0.000	    -2.272	512.572555	512.572555	582.760193	2312.236452
  30.200	   0.000	       588.318	        67.641	     0.000	   405.970	   -35.845	    74.779	     0.000	    -2.231	518.564221	518.564221	588.464624	2309.996018
  30.400	   0.000	       593.013	        65.641	     0.000	   404.933	   -35.571	    74.070	     0.000	    -2.189	522.685215	522.685215	592.744363	2308.976894
  30.600	   0.000	       591.308	        63.641	     0.000	   403.901	   -35.300	    73.867	     0.000	    -2.177	522.479639	522.479639	592.114952	2311.239249
  30.800	   0.000	       593.614	        61.641	     0.000	   402.875	   -35.031	    73.354	     0.000	    -2.147	522.884406	522.884406	593.139130	2313.800490
  31.000	   0.000	       588.442	        59.641	     0.000	   401.854	   -34.766	    73.408	     0.000	    -2.150	518.914410	518.914410	588.798023	2314.624602
  31.200	   0.000	       579.011	        61.611	     0.000	   400.838	   -34.503	    73.990	     0.000	    -2.185	508.962351	508.962351	578.779622	2316.302455
  31.400	   0.000	       569.172	        61.889	     0.000	   399.827	   -34.242	    74.498	     0.000	    -2.215	499.241598	499.241598	569.789095	2316.654907
  31.600	   0.000	       556.350	        62.175	     0.000	   398.821	   -33.985	    75.341	     0.000	    -2.265	486.373509	486.373509	556.142862	2316.912637
  31.800	   0.000	       547.572	        63.215	     0.000	   397.820	   -33.729	    75.807	     0.000	    -2.293	477.092633	477.092633	547.542475	2317.968464
  32.000	   0.000	       529.180	        61.797	     0.000	   396.825	   -33.477	    77.146	     0.000	    -2.375	459.512401	459.512401	529.236212	2316.568005
  32.200	   0.000	       521.334	        61.771	     0.000	   395.834	   -33.227	    77.458	     0.000	    -2.394	450.939996	450.939996	521.187211	2316.543214
  32.400	   0.000	       511.268	        61.910	     0.000	   394.848	   -32.979	    78.202	     0.000	    -2.440	442.081595	442.081595	511.877221	2316.617904
  32.600	   0.000	       506.429	        61.178	     0.000	   393.867	   -32.734	    78.419	     0.000	    -2.454	435.675370	435.675370	505.831451	2315.976995
  32.800	   0.000	       501.821	        62.820	     0.000	   392.891	   -32.491	    78.753	     0.000	    -2.475	432.780653	432.780653	502.565810	2317.584170
  33.000	   0.000	       509.578	        63.275	     0.000	   391.920	   -32.251	    77.967	     0.000	    -2.426	439.103616	439.103616	509.139191	2318.036671
  33.200	   0.000	       514.838	        63.539	     0.000	   390.953	   -32.013	    77.334	     0.000	    -2.386	445.077084	445.077084	515.065103	2318.282027
  33.400	   0.000	       525.056	        64.568	     0.000	   389.992	   -31.777	    76.380	     0.000	    -2.328	455.434484	455.434484	525.284801	2319.321015
  33.600	   0.000	       536.724	        63.358	     0.000	   389.035	   -31.544	    75.153	     0.000	    -2.254	466.361329	466.361329	536.600876	2318.113217
  33.800	   0.000	       542.648	        63.259	     0.000	   388.082	   -31.313	    74.472	     0.000	    -2.213	473.570170	473.570170	543.198533	2318.001082
  34.000	   0.000	       550.817	        63.419	     0.000	   387.135	   -31.084	    73.687	     0.000	    -2.167	480.471530	480.471530	550.712096	2318.137454
  34.200	   0.000	       552.204	        62.744	     0.000	   386.192	   -30.857	    73.327	     0.000	    -2.146	483.010377	483.010377	552.682832	2317.522739
  34.400	   0.000	       565.269	        64.317	     0.000	   385.253	   -30.633	    72.346	     0.000	    -2.088	494.765798	494.765798	565.064346	2319.046642
  34.600	   0.000	       565.657	        64.817	     0.000	   384.319	   -30.410	    72.118	     0.000	    -2.075	495.684299	495.684299	565.702125	2319.583192
  34.800	   0.000	       578.728	        65.041	     0.000	   383.390	   -30.190	    71.124	     0.000	    -2.019	508.602457	508.602457	578.811952	2319.814389
  35.000	   0.000	       579.408	        66.084	     0.000	   382.465	   -29.972	    70.903	     0.000	    -2.006	509.568910	509.568910	579.527055	2320.847156
  35.200	   0.000	       583.712	        64.975	     0.000	   381.544	   -29.757	    70.336	     0.000	    -1.974	513.840954	513.840954	583.827194	2319.730879
  35.400	   0.000	       578.807	        64.825	     0.000	   380.628	   -29.543	    70.509	     0.000	    -1.984	508.621699	508.621699	578.772153	2319.577211
  35.600	   0.000	       572.275	        65.053	     0.000	   379.717	   -29.331	    70.795	     0.000	    -2.000	502.718845	502.718845	572.426003	2319.771467
  35.800	   0.000	       570.486	        64.372	     0.000	   378.809	   -29.121	    70.719	     0.000	    -1.996	499.964294	499.964294	570.251781	2319.173978
